Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
decode_significance_skip_x86	0.831724	0.831724	0.0	0.0	libavcodec.so.62	decode_significance_skip_x86	h264_cabac.c	0x3c5280
get_cabac_inline_x86	0.343952	0.343952	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c3580
decode_significance_8x8_skip_x86	0.272076	0.272076	0.0	0.0	libavcodec.so.62	decode_significance_8x8_skip_x86	h264_cabac.c	0x3c7793
get_cabac_inline_x86	0.151797	0.151797	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c34e0
ff_h264_decode_mb_cabac	0.136244	0.136244	0.0	0.0	libavcodec.so.62	ff_h264_decode_mb_cabac	h264_cabac.c	0x3c9660
fill_decode_caches	0.107855	0.107855	0.0	0.0	libavcodec.so.62	fill_decode_caches	h264_mvpred.h	0x3c3850
get_cabac_inline_x86	0.103986	0.103986	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c7540
decode_cabac_residual_internal_skip	0.064008	0.064008	0.0	0.0	libavcodec.so.62	decode_cabac_residual_internal_skip	h264_cabac.c	0x3c7402
decode_cabac_luma_residual_skip	0.056227	0.056227	0.0	0.0	libavcodec.so.62	decode_cabac_luma_residual_skip	h264_cabac.c	0x3c9070
decode_cabac_mb_mvd	0.039949	0.039949	0.0	0.0	libavcodec.so.62	decode_cabac_mb_mvd	h264_cabac.c	0x3c7980
get_cabac_bypass_x86	0.039940	0.039940	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c74c5
pred_spatial_direct_motion	0.039854	0.039854	0.0	0.0	libavcodec.so.62	pred_spatial_direct_motion	h264_direct.c	0x3d727b
get_cabac_inline_x86	0.036000	0.036000	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6afe
decode_cabac_mb_skip	0.032031	0.032031	0.0	0.0	libavcodec.so.62	decode_cabac_mb_skip	h264_cabac.c	0x3c5580
add_mb	0.031986	0.031986	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x73390b
decode_cabac_residual_nondc_internal_skip	0.027991	0.027991	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_internal_skip	h264_cabac.c	0x3c7400
add_mb	0.024014	0.024014	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x733df9
pred_motion	0.023977	0.023977	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3cc2de
add_mb	0.019972	0.019972	0.0	0.0	libavcodec.so.62	add_mb	mpegutils.c	0x7338cb
get_cabac_bypass_x86	0.016193	0.016193	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c7720
write_back_motion	0.012086	0.012086	0.0	0.0	libavcodec.so.62	write_back_motion	h264_mvpred.h	0x3c9b50
decode_cabac_mb_cbp_luma	0.012036	0.012036	0.0	0.0	libavcodec.so.62	decode_cabac_mb_cbp_luma	h264_cabac.c	0x3cac50
write_back_motion	0.012030	0.012030	0.0	0.0	libavcodec.so.62	write_back_motion	h264_mvpred.h	0x3c9ef6
get_cabac	0.012030	0.012030	0.0	0.0	libavcodec.so.62	get_cabac	cabac_functions.h	0x3c3580
get_cabac_bypass_sign_x86	0.012027	0.012027	0.0	0.0	libavcodec.so.62	get_cabac_bypass_sign_x86	cabac.h	0x3c63d8
__memset_evex_unaligned_erms	0.012023	0.012023	0.0	0.0	libc.so.6	__memset_evex_unaligned_erms	memset-vec-unaligned-erms.S	0x1993c0
fill_rectangle	0.012000	0.012000	0.0	0.0	libavcodec.so.62	fill_rectangle	rectangle.h	0x3c9310
decode_cabac_mb_ref	0.011996	0.011996	0.0	0.0	libavcodec.so.62	decode_cabac_mb_ref	h264_cabac.c	0x3c6a80
decode_cabac_residual_nondc_skip	0.011995	0.011995	0.0	0.0	libavcodec.so.62	decode_cabac_residual_nondc_skip	h264_cabac.c	0x3c9390
get_cabac_bypass_x86	0.011981	0.011981	0.0	0.0	libavcodec.so.62	get_cabac_bypass_x86	cabac.h	0x3c7b08
decode_significance_8x8_x86	0.011980	0.011980	0.0	0.0	libavcodec.so.62	decode_significance_8x8_x86	h264_cabac.c	0x3c6868
av_pix_fmt_desc_get	0.011977	0.011977	0.0	0.0	libavutil.so.60	av_pix_fmt_desc_get	pixdesc.c	0x4dce0
write_back_non_zero_count	0.011954	0.011954	0.0	0.0	libavcodec.so.62	write_back_non_zero_count	h264_mvpred.h	0x3ca505
..@4645.end	0.008060	0.008060	0.0	0.0	libavcodec.so.62	..@4645.end	x86inc.asm	0xc775e0
ff_print_debug_info2_optimized	0.008055	0.008055	0.0	0.0	libavcodec.so.62	ff_print_debug_info2_optimized	mpegutils.c	0x733710
decode_significance_x86	0.008038	0.008038	0.0	0.0	libavcodec.so.62	decode_significance_x86	h264_cabac.c	0x3c50c0
get_cabac_cbf_ctx	0.008032	0.008032	0.0	0.0	libavcodec.so.62	get_cabac_cbf_ctx	h264_cabac.c	0x3c8f10
fill_decode_neighbors	0.008025	0.008025	0.0	0.0	libavcodec.so.62	fill_decode_neighbors	h264_mvpred.h	0x3c3620
get_chroma_qp	0.008021	0.008021	0.0	0.0	libavcodec.so.62	get_chroma_qp	h264dec.h	0x3c9dac
decode_cabac_residual_dc_skip	0.008017	0.008017	0.0	0.0	libavcodec.so.62	decode_cabac_residual_dc_skip	h264_cabac.c	0x3c8c30
await_reference_mb_row	0.008009	0.008009	0.0	0.0	libavcodec.so.62	await_reference_mb_row	h264_direct.c	0x3d79b5
get_cabac_inline_x86	0.007992	0.007992	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c6d58
__posix_memalign	0.007992	0.007992	0.0	0.0	libc.so.6	__posix_memalign	malloc.c	0xaf450
get_cabac_inline_x86	0.007983	0.007983	0.0	0.0	libavcodec.so.62	get_cabac_inline_x86	cabac.h	0x3c79d0
pred_motion	0.007973	0.007973	0.0	0.0	libavcodec.so.62	pred_motion	h264_mvpred.h	0x3ccdd0
